SegmentID,speed0,update0,speed1,update1,speed2,update2,speed3,update3,speed4,update4,speed5,update5,speed6,update6,speed7,update7,speed8,update8,speed9,update9
1022,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0
1023,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0
1032,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0
1041,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0,-1,2010-07-21 14:50:54.0
1042,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0
1043,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0
1044,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0,-1,2010-07-21 14:50:55.0
1045,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0
1046,-1,2011-10-28 14:11:06.0,-1,2011-10-28 14:11:06.0,-1,2011-10-28 14:11:06.0,-1,2011-10-28 14:11:06.0,-1,2011-10-28 14:11:06.0,-1,2011-10-28 14:11:06.0,-1,2011-10-28 14:11:06.0,-1,2011-10-28 14:11:06.0,-1,2011-10-28 14:11:06.0,-1,2011-10-28 14:11:06.0
1047,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0
